Category,Title,Slug,Image File,Status,Action,Image Created,Image Approved,Notes
"Snack","Herbed Labneh Dip","herbed-labneh-dip","herbed-labneh-dip","🔴 Missing Image","Generate Image","","",""
"Snack","Mediterranean Energy Balls","mediterranean-energy-balls","mediterranean-energy-balls","🔴 Missing Image","Generate Image","","",""
"Snack","Mediterranean Roasted Chickpeas","roasted-chickpeas","mediterranean-roasted-chickpeas","🔴 Missing Image","Generate Image","","",""
"Snack","Muhammara (Roasted Red Pepper & Walnut Dip)","muhammara","muhammara","✅ Complete","None","","",""
"Snack","Olive Tapenade with Whole Grain Crackers","olive-tapenade","olive-tapenade","✅ Complete","None","","",""
"Snack","Stuffed Dates with Almonds & Pistachios","stuffed-dates-almonds-pistachios","stuffed-dates-almonds-pistachios","✅ Complete","None","","",""
"Snack","Za","zaatar-roasted-mixed-nuts","zaatar-roasted-mixed-nuts","🔴 Missing Image","Generate Image","","",""
"Soups","Creamy Cauliflower Soup","cauliflower-soup","cauliflower-soup","🔴 Missing Image","Generate Image","","",""
"Soups","Creamy Chickpea Soup","creamy-chickpea-soup","creamy-chickpea-soup","✅ Complete","None","","",""
"Soups","Egyptian Molokhia Soup","egyptian-molokhia-soup","egyptian-molokhia-soup","✅ Complete","None","","",""
"Soups","Lentil Soup","lentil-soup","lentil-soup","✅ Complete","None","","",""
"Soups","Mediterranean Chicken Orzo Soup","chicken-orzo-soup","chicken-orzo-soup","✅ Complete","None","","",""
"Soups","Mediterranean Vegetable Barley Soup","vegetable-barley-soup","vegetable-barley-soup","✅ Complete","None","","",""
"Soups","Mediterranean Vegetable Soup","mediterranean-vegetable-soup","mediterranean-vegetable-soup","✅ Complete","None","","",""
"Soups","Mediterranean White Bean Soup","white-bean-soup","white-bean-soup","🔴 Missing Image","Generate Image","","",""
"Soups","Red Lentil Soup (Shorbat Adas)","red-lentil-soup","red-lentil-soup","✅ Complete","None","","",""
"Soups","Roasted Pumpkin Soup","roasted-pumpkin-soup","roasted-pumpkin-soup","✅ Complete","None","","",""
"Soups","Roasted Tomato Basil Soup","tomato-basil-soup","tomato-basil-soup","✅ Complete","None","","",""
"Soups","Spinach Lentil Soup","spinach-lentil-soup","spinach-lentil-soup","✅ Complete","None","","",""
"Vegan","Hummus Power Bowl","hummus-power-bowl","hummus-power-bowl","✅ Complete","None","","",""
"Vegetarian","Baked Falafel","baked-falafel","baked-falafel","✅ Complete","None","","",""
"Vegetarian","Cauliflower Steaks with Lemon Tahini Sauce","cauliflower-steaks-tahini","cauliflower-steaks-tahini","✅ Complete","None","","",""
"Vegetarian","Eggplant Parmesan (Mediterranean Style)","eggplant-parmesan-mediterranean","eggplant-parmesan-mediterranean","✅ Complete","None","","",""
"Vegetarian","Falafel Bowl","falafel-bowl","falafel-bowl","✅ Complete","None","","",""
"Vegetarian","Herb-Roasted Cauliflower","herb-roasted-cauliflower","herb-roasted-cauliflower","✅ Complete","None","","",""
"Vegetarian","Mediterranean Lentil Patties","mediterranean-lentil-patties","mediterranean-lentil-patties","✅ Complete","None","","",""
"Vegetarian","Mediterranean Stuffed Portobello Mushrooms","mediterranean-stuffed-portobello-mushrooms","mediterranean-stuffed-portobello-mushrooms","✅ Complete","None","","",""
"Vegetarian","Roasted Vegetable Quinoa Bowl","roasted-vegetable-quinoa-bowl","roasted-vegetable-quinoa-bowl","✅ Complete","None","","",""
"Vegetarian","Spinach & Chickpea Stew","spinach-chickpea-stew","spinach-chickpea-stew","✅ Complete","None","","",""
"Vegetarian","Spinach & Feta Stuffed Zucchini Boats","spinach-feta-stuffed-zucchini-boats","spinach-feta-stuffed-zucchini-boats","✅ Complete","None","","",""
"Vegetarian","Stuffed Mediterranean Eggplant","stuffed-mediterranean-eggplant","stuffed-mediterranean-eggplant","✅ Complete","None","","",""
"Vegetarian","Vegetable Moussaka","vegetable-moussaka","vegetable-moussaka","✅ Complete","None","","",""
